RadioID,RegionID,Url
Corona_100mi,DEN,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_100mi__DEN.geojson
Corona_100mi,FL,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_100mi__FL.geojson
Corona_100mi,LV,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_100mi__LV.geojson
Corona_100mi,NCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_100mi__NCA.geojson
Corona_100mi,PHX,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_100mi__PHX.geojson
Corona_100mi,SCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_100mi__SCA.geojson
Corona_100mi,TX,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_100mi__TX.geojson
Corona_150mi,DEN,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_150mi__DEN.geojson
Corona_150mi,FL,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_150mi__FL.geojson
Corona_150mi,LV,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_150mi__LV.geojson
Corona_150mi,NCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_150mi__NCA.geojson
Corona_150mi,None,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/radio_Corona_150mi.geojson
Corona_150mi,PHX,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_150mi__PHX.geojson
Corona_150mi,SCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_150mi__SCA.geojson
Corona_150mi,TX,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Corona_150mi__TX.geojson
Las_Vegas_100mi,DEN,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_100mi__DEN.geojson
Las_Vegas_100mi,FL,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_100mi__FL.geojson
Las_Vegas_100mi,LV,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_100mi__LV.geojson
Las_Vegas_100mi,NCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_100mi__NCA.geojson
Las_Vegas_100mi,PHX,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_100mi__PHX.geojson
Las_Vegas_100mi,SCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_100mi__SCA.geojson
Las_Vegas_100mi,TX,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_100mi__TX.geojson
Las_Vegas_150mi,DEN,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_150mi__DEN.geojson
Las_Vegas_150mi,FL,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_150mi__FL.geojson
Las_Vegas_150mi,LV,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_150mi__LV.geojson
Las_Vegas_150mi,NCA,https://cdn.jsdelivr.net/gh/laiaortiz-dev/radius-counties@903e7a34bb07cb17169f1b11756f9f6243242784/salida_combos_geojson/combo_Las_Vegas_150mi__NCA.geojson
